City_name,Package,Variety,Price,Origin,Size,Color
BOSTON,24_inch_bins,PIE_TYPE,175,VERMONT,sml,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,WHITE
BOSTON,24_inch_bins,PIE_TYPE,180,CANADA,sml,ORANGE
COLUMBIA,bushel_cartons,MINIATURE,28,PENNSYLVANIA,sml,ORANGE
COLUMBIA,24_inch_bins,MIXED_HEIRLOOM_VARIETIES,200,NORTH_CAROLINA,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,jbo,ORANGE
DALLAS,24_inch_bins,HOWDEN_TYPE,120,TEXAS,med,MountbattenPink
COLUMBIA,24_inch_bins,FAIRYTALE,170,NORTH_CAROLINA,med,MountbattenPink
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,17,OHIO,med,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,STRIPED
BALTIMORE,24_inch_bins,CINDERELLA,180,MARYLAND,xlge,MountbattenPink
BOSTON,bushel_cartons,PIE_TYPE,24,MASSACHUSETTS,med-lge,MountbattenPink
COLUMBIA,36_inch_bins,PIE_TYPE,200,PENNSYLVANIA,med,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,MICHIGAN,lge,ORANGE
DALLAS,24_inch_bins,CINDERELLA,160,TEXAS,jbo,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,med,ORANGE
DALLAS,24_inch_bins,CINDERELLA,150,TEXAS,jbo,MountbattenPink
DALLAS,24_inch_bins,MIXED_HEIRLOOM_VARIETIES,150,TEXAS,med,MountbattenPink
CHICAGO,36_inch_bins,MIXED_HEIRLOOM_VARIETIES,225,ILLINOIS,lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,MICHIGAN,lge,MountbattenPink
BOSTON,24_inch_bins,CINDERELLA,285,MASSACHUSETTS,xlge,ORANGE
COLUMBIA,24_inch_bins,HOWDEN_WHITE_TYPE,200,VIRGINIA,sml,MountbattenPink
BOSTON,24_inch_bins,PIE_TYPE,200,MICHIGAN,sml,ORANGE
CHICAGO,24_inch_bins,PIE_TYPE,220,ILLINOIS,med,MountbattenPink
BALTIMORE,1/2_bushel_cartons,MINIATURE,17,OHIO,sml,MountbattenPink
BOSTON,24_inch_bins,CINDERELLA,285,MASSACHUSETTS,xlge,WHITE
COLUMBIA,24_inch_bins,FAIRYTALE,170,NORTH_CAROLINA,med,MountbattenPink
ATLANTA,24_inch_bins,HOWDEN_TYPE,154.75,MICHIGAN,med-lge,MountbattenPink
COLUMBIA,36_inch_bins,HOWDEN_TYPE,160,NORTH_CAROLINA,jbo,ORANGE
BOSTON,36_inch_bins,BIG_MACK_TYPE,200,PENNSYLVANIA,xlge,MountbattenPink
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,jbo,MountbattenPink
CHICAGO,36_inch_bins,HOWDEN_TYPE,130,ILLINOIS,lge,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,19,MICHIGAN,med,MountbattenPink
DALLAS,36_inch_bins,PIE_TYPE,250,TEXAS,med,MountbattenPink
DALLAS,36_inch_bins,PIE_TYPE,300,TEXAS,med,MountbattenPink
ATLANTA,24_inch_bins,HOWDEN_TYPE,154.75,MICHIGAN,jbo,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,xlge,ORANGE
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,18,MICHIGAN,med,MountbattenPink
BOSTON,24_inch_bins,CINDERELLA,285,MASSACHUSETTS,xlge,WHITE
CHICAGO,24_inch_bins,PIE_TYPE,200,ILLINOIS,med,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,280,MICHIGAN,med-lge,ORANGE
BOSTON,1/2_bushel_cartons,FAIRYTALE,16,MASSACHUSETTS,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,200,MICHIGAN,xlge,MountbattenPink
BALTIMORE,24_inch_bins,FAIRYTALE,260,MARYLAND,xlge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,exjbo,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,18,PENNSYLVANIA,sml,WHITE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,MICHIGAN,lge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,160,PENNSYLVANIA,xlge,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,225,PENNSYLVANIA,med-lge,ORANGE
COLUMBIA,bushel_cartons,PIE_TYPE,19,MICHIGAN,med-lge,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,200,PENNSYLVANIA,exjbo,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,140,VIRGINIA,lge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,med,ORANGE
CHICAGO,24_inch_bins,PIE_TYPE,180,OHIO,med,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,18,OHIO,med,MountbattenPink
CHICAGO,1/2_bushel_cartons,MINIATURE,18,OHIO,sml,WHITE
BOSTON,36_inch_bins,PIE_TYPE,300,PENNSYLVANIA,xlge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,xlge,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,225,PENNSYLVANIA,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,160,PENNSYLVANIA,lge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,med,ORANGE
BALTIMORE,1/2_bushel_cartons,MINIATURE,18,MARYLAND,unknown,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,med,MountbattenPink
COLUMBIA,24_inch_bins,KNUCKLE_HEAD,170,NORTH_CAROLINA,med,MountbattenPink
DALLAS,36_inch_bins,PIE_TYPE,300,TEXAS,med,MountbattenPink
COLUMBIA,24_inch_bins,CINDERELLA,175,PENNSYLVANIA,lge,MountbattenPink
DALLAS,36_inch_bins,PIE_TYPE,300,TEXAS,med,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,220,VERMONT,sml,ORANGE
CHICAGO,36_inch_bins,HOWDEN_TYPE,130,MICHIGAN,lge,MountbattenPink
BOSTON,24_inch_bins,PIE_TYPE,180,CANADA,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,med-lge,ORANGE
COLUMBIA,24_inch_bins,BLUE_TYPE,200,NORTH_CAROLINA,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,160,CANADA,med,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,300,MASSACHUSETTS,med-lge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,180,CANADA,lge,ORANGE
DALLAS,20_lb_cartons,PIE_TYPE,21,MISSOURI,lge,MountbattenPink
CHICAGO,1/2_bushel_cartons,MINIATURE,18,OHIO,sml,ORANGE
ATLANTA,24_inch_bins,HOWDEN_TYPE,154.75,MICHIGAN,med-lge,MountbattenPink
COLUMBIA,36_inch_bins,HOWDEN_TYPE,125,PENNSYLVANIA,sml,ORANGE
DALLAS,36_inch_bins,HOWDEN_TYPE,160,TEXAS,jbo,MountbattenPink
BOSTON,24_inch_bins,BLUE_TYPE,285,MASSACHUSETTS,xlge,ORANGE
BOSTON,24_inch_bins,PIE_TYPE,175,MASSACHUSETTS,sml,ORANGE
CHICAGO,36_inch_bins,PIE_TYPE,215,ILLINOIS,med-lge,MountbattenPink
COLUMBIA,24_inch_bins,CINDERELLA,160,PENNSYLVANIA,lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,180,MICHIGAN,jbo,ORANGE
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,17,ILLINOIS,med,MountbattenPink
BOSTON,24_inch_bins,BIG_MACK_TYPE,285,MASSACHUSETTS,xlge,ORANGE
COLUMBIA,24_inch_bins,MIXED_HEIRLOOM_VARIETIES,200,NORTH_CAROLINA,med,MountbattenPink
COLUMBIA,24_inch_bins,CINDERELLA,175,PENNSYLVANIA,lge,MountbattenPink
CHICAGO,36_inch_bins,HOWDEN_TYPE,170,MICHIGAN,xlge,MountbattenPink
COLUMBIA,24_inch_bins,BLUE_TYPE,200,NORTH_CAROLINA,med,MountbattenPink
DALLAS,36_inch_bins,HOWDEN_TYPE,150,MEXICO,med-lge,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,17,PENNSYLVANIA,unknown,WHITE
BOSTON,36_inch_bins,HOWDEN_TYPE,200,MICHIGAN,xlge,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,220,CANADA,sml,ORANGE
COLUMBIA,bushel_cartons,MINIATURE,30,PENNSYLVANIA,lge,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,220,CANADA,sml,ORANGE
COLUMBIA,bushel_cartons,PIE_TYPE,19,MICHIGAN,med,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,200,PENNSYLVANIA,exjbo,ORANGE
BOSTON,36_inch_bins,BIG_MACK_TYPE,200,PENNSYLVANIA,xlge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,180,MICHIGAN,xlge,ORANGE
BOSTON,36_inch_bins,BIG_MACK_TYPE,200,MASSACHUSETTS,xlge,MountbattenPink
CHICAGO,36_inch_bins,HOWDEN_TYPE,130,MICHIGAN,lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,exjbo,ORANGE
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,17,OHIO,med,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,18,MICHIGAN,med,MountbattenPink
ATLANTA,24_inch_bins,HOWDEN_TYPE,150,MICHIGAN,sml,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,300,PENNSYLVANIA,med-lge,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,22.5,OHIO,med,MountbattenPink
COLUMBIA,24_inch_bins,PIE_TYPE,250,NORTH_CAROLINA,med,ORANGE
BOSTON,24_inch_bins,FAIRYTALE,285,MASSACHUSETTS,xlge,ORANGE
BALTIMORE,50_lb_sacks,CINDERELLA,29,FLORIDA,med,MountbattenPink
BOSTON,1/2_bushel_cartons,MINIATURE,18,MASSACHUSETTS,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,160,PENNSYLVANIA,xlge,ORANGE
BALTIMORE,1/2_bushel_cartons,MINIATURE,17,OHIO,sml,MountbattenPink
COLUMBIA,24_inch_bins,CINDERELLA,170,NORTH_CAROLINA,med,MountbattenPink
COLUMBIA,24_inch_bins,BLUE_TYPE,200,PENNSYLVANIA,med-lge,MountbattenPink
ATLANTA,36_inch_bins,HOWDEN_TYPE,140,TENNESSEE,lge,MountbattenPink
CHICAGO,36_inch_bins,MIXED_HEIRLOOM_VARIETIES,225,ILLINOIS,lge,MountbattenPink
BOSTON,36_inch_bins,BIG_MACK_TYPE,225,PENNSYLVANIA,jbo,MountbattenPink
CHICAGO,24_inch_bins,HOWDEN_TYPE,225,CANADA,lge,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,300,PENNSYLVANIA,xlge,MountbattenPink
COLUMBIA,24_inch_bins,PIE_TYPE,200,VIRGINIA,med,MountbattenPink
BALTIMORE,1/2_bushel_cartons,MINIATURE,18,PENNSYLVANIA,unknown,ORANGE
BOSTON,24_inch_bins,PIE_TYPE,180,PENNSYLVANIA,sml,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,xlge,ORANGE
BOSTON,36_inch_bins,BIG_MACK_TYPE,200,MASSACHUSETTS,lge,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,300,MASSACHUSETTS,med-lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,160,CANADA,med,ORANGE
BOSTON,24_inch_bins,PIE_TYPE,175,MASSACHUSETTS,sml,ORANGE
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,16,PENNSYLVANIA,med,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,STRIPED
COLUMBIA,36_inch_bins,HOWDEN_TYPE,160,NORTH_CAROLINA,jbo,ORANGE
COLUMBIA,24_inch_bins,PIE_TYPE,225,PENNSYLVANIA,med-lge,WHITE
BALTIMORE,24_inch_bins,FAIRYTALE,250,MARYLAND,xlge,MountbattenPink
CHICAGO,36_inch_bins,HOWDEN_TYPE,170,MICHIGAN,xlge,MountbattenPink
DALLAS,36_inch_bins,FAIRYTALE,160,TEXAS,jbo,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,300,PENNSYLVANIA,xlge,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,20,ILLINOIS,med,MountbattenPink
ATLANTA,24_inch_bins,HOWDEN_TYPE,145,ALABAMA,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,xlge,ORANGE
BALTIMORE,36_inch_bins,HOWDEN_TYPE,160,MARYLAND,lge,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,18,PENNSYLVANIA,sml,WHITE
CHICAGO,1/2_bushel_cartons,MINIATURE,18,MICHIGAN,sml,WHITE
BOSTON,1/2_bushel_cartons,MINIATURE,18,MASSACHUSETTS,sml,ORANGE
BOSTON,24_inch_bins,BIG_MACK_TYPE,285,MASSACHUSETTS,xlge,ORANGE
BOSTON,24_inch_bins,PIE_TYPE,180,CANADA,sml,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,med,ORANGE
BALTIMORE,36_inch_bins,HOWDEN_TYPE,160,MARYLAND,lge,MountbattenPink
BALTIMORE,24_inch_bins,BIG_MACK_TYPE,60,VIRGINIA,unknown,MountbattenPink
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,18,OHIO,med,MountbattenPink
DALLAS,36_inch_bins,FAIRYTALE,160,TEXAS,jbo,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,jbo,ORANGE
ATLANTA,24_inch_bins,PIE_TYPE,135,NORTH_CAROLINA,sml,MountbattenPink
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,16,DELAWARE,med,ORANGE
COLUMBIA,24_inch_bins,FAIRYTALE,170,NORTH_CAROLINA,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,lge,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,140,VIRGINIA,med,ORANGE
COLUMBIA,24_inch_bins,BLUE_TYPE,200,PENNSYLVANIA,med-lge,MountbattenPink
CHICAGO,36_inch_bins,FAIRYTALE,200,ILLINOIS,med,MountbattenPink
BOSTON,1/2_bushel_cartons,MINIATURE,18,MASSACHUSETTS,sml,ORANGE
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,16,PENNSYLVANIA,med,ORANGE
CHICAGO,bins,FAIRYTALE,200,ILLINOIS,xlge,MountbattenPink
BALTIMORE,1/2_bushel_cartons,MINIATURE,18,VIRGINIA,sml,MountbattenPink
BALTIMORE,36_inch_bins,HOWDEN_TYPE,170,MARYLAND,med,MountbattenPink
COLUMBIA,36_inch_bins,HOWDEN_TYPE,140,VIRGINIA,lge,ORANGE
BOSTON,1_1/9_bushel_crates,PIE_TYPE,16,MASSACHUSETTS,sml,ORANGE
CHICAGO,36_inch_bins,HOWDEN_TYPE,130,MICHIGAN,lge,MountbattenPink
BOSTON,36_inch_bins,BIG_MACK_TYPE,200,MASSACHUSETTS,lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,160,CANADA,med-lge,ORANGE
CHICAGO,1/2_bushel_cartons,MINIATURE,18,OHIO,sml,WHITE
CHICAGO,1/2_bushel_cartons,MINIATURE,20,INDIANA,sml,MountbattenPink
CHICAGO,24_inch_bins,HOWDEN_WHITE_TYPE,200,ILLINOIS,med-lge,MountbattenPink
CHICAGO,24_inch_bins,PIE_TYPE,180,OHIO,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,xlge,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,140,NORTH_CAROLINA,med,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,xlge,ORANGE
COLUMBIA,24_inch_bins,KNUCKLE_HEAD,170,NORTH_CAROLINA,med,MountbattenPink
DALLAS,24_inch_bins,HOWDEN_TYPE,170,TEXAS,jbo,MountbattenPink
BALTIMORE,24_inch_bins,CINDERELLA,250,MARYLAND,xlge,MountbattenPink
CHICAGO,24_inch_bins,PIE_TYPE,220,ILLINOIS,med,MountbattenPink
COLUMBIA,24_inch_bins,BLUE_TYPE,200,PENNSYLVANIA,med-lge,MountbattenPink
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,PENNSYLVANIA,xlge,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,18,MICHIGAN,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,180,CANADA,lge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,sml,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,225,PENNSYLVANIA,sml,ORANGE
DALLAS,36_inch_bins,HOWDEN_TYPE,160,TEXAS,jbo,MountbattenPink
BOSTON,36_inch_bins,PIE_TYPE,225,PENNSYLVANIA,med-lge,ORANGE
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,15,DELAWARE,med,MountbattenPink
BALTIMORE,24_inch_bins,CINDERELLA,200,VIRGINIA,xlge,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,18,MICHIGAN,sml,ORANGE
DALLAS,50_lb_sacks,PIE_TYPE,35,TEXAS,unknown,WHITE
CHICAGO,1_1/9_bushel_cartons,PIE_TYPE,18,ILLINOIS,med,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,STRIPED
BOSTON,24_inch_bins,BIG_MACK_TYPE,285,MASSACHUSETTS,xlge,ORANGE
BALTIMORE,24_inch_bins,BIG_MACK_TYPE,60,MARYLAND,unknown,MountbattenPink
BOSTON,24_inch_bins,PIE_TYPE,180,PENNSYLVANIA,sml,ORANGE
COLUMBIA,24_inch_bins,CINDERELLA,160,PENNSYLVANIA,lge,MountbattenPink
BALTIMORE,24_inch_bins,PIE_TYPE,160,VIRGINIA,sml,MountbattenPink
DALLAS,24_inch_bins,HOWDEN_TYPE,160,TEXAS,lge,MountbattenPink
BOSTON,24_inch_bins,BLUE_TYPE,285,MASSACHUSETTS,xlge,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,jbo,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,200,CANADA,xlge,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,300,MASSACHUSETTS,unknown,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,300,MASSACHUSETTS,med-lge,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,21,MICHIGAN,unknown,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,175,PENNSYLVANIA,jbo,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,220,CANADA,sml,ORANGE
BOSTON,36_inch_bins,PIE_TYPE,220,CANADA,sml,ORANGE
BOSTON,24_inch_bins,FAIRYTALE,285,MASSACHUSETTS,xlge,ORANGE
COLUMBIA,24_inch_bins,CINDERELLA,175,PENNSYLVANIA,lge,MountbattenPink
CHICAGO,36_inch_bins,PIE_TYPE,215,INDIANA,med-lge,MountbattenPink
BOSTON,1_1/9_bushel_cartons,PIE_TYPE,16,MASSACHUSETTS,sml,ORANGE
DALLAS,24_inch_bins,HOWDEN_TYPE,170,TEXAS,xlge,MountbattenPink
BALTIMORE,24_inch_bins,BIG_MACK_TYPE,60,MARYLAND,med,WHITE
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,15,DELAWARE,unknown,MountbattenPink
DALLAS,24_inch_bins,PIE_TYPE,100,NEW_MEXICO,med,MountbattenPink
DALLAS,20_lb_cartons,PIE_TYPE,20,MISSOURI,lge,MountbattenPink
DALLAS,24_inch_bins,FAIRYTALE,150,TEXAS,sml,MountbattenPink
COLUMBIA,bushel_cartons,MINIATURE,28,PENNSYLVANIA,sml,ORANGE
CHICAGO,1/2_bushel_cartons,MINIATURE,18,OHIO,sml,ORANGE
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,lge,ORANGE
BOSTON,24_inch_bins,BLUE_TYPE,285,MASSACHUSETTS,xlge,ORANGE
